,country,year,arrivals_dom,arrivals_for,arrivals_tot,nights_dom,nights_for,nights_tot,night_cost,purpose_leisure,purpose_work,purpose_visit,purpose_personal,purpose_other,purpose_tot
197,Latvia,2013,,,,,,,39.7,5088193,1895063,7008495,13344863,1248174,15239927
198,Latvia,2014,667343,1431038,2098381,1282484,2875934,4158418,34.66,7390864,887692,6521998,16220312,2307450,17108004
199,Latvia,2015,664628,1474765,2139393,1236025,2873885,4109910,42.31,6110572,843640,5467208,12400892,823112,13244532
200,Latvia,2016,730011,1573632,2303643,1372065,3044532,4416597,36.71,7062609,956268,6013445,13679973,603919,14636241
201,Latvia,2017,798365,1778973,2577338,1544402,3406527,4950929,47.01,6338000,979208,5619966,12926371,968405,13905580
202,Latvia,2018,883411,1925397,2808808,1625773,3742966,5368739,50.14,5535011,1163150,5182132,11662163,945021,12825313
203,Latvia,2019,907414,1945919,2853333,1658379,3851303,5509682,59.48,5646351,1815266,6131902,12903956,1125703,14719222
204,Latvia,2020,747990,714975,1462965,1385037,1504305,2889342,35.65,3257543,551816,2712027,6659308,689738,7211125
205,Latvia,2021,864400,442188,1306588,1516390,863387,2379777,45.22,4931055,914037,3505089,10324777,1888633,11238814
206,Latvia,2022,1033196,1138873,2172069,1769701,2113221,3882922,63.62,6968794,809472,4925262,13884806,1990749,14694277
207,Latvia,2023,1046823,1388972,2435795,1793070,2577784,4370854,73.49,8635966,1583823,5805555,15919190,1477669,17503014
208,Latvia,2024,1113409,1587158,2700567,1850960,2841253,4692213,77.08,8433385,1652545,5524043,15258284,1300856,16910829
209,Liechtenstein,2014,1054,61251,62305,2070,130202,132272,,,,,,,
210,Liechtenstein,2015,983,56666,57649,2019,110465,112484,,,,,,,
211,Liechtenstein,2016,1670,69084,70754,3069,127747,130816,,,,,,,
212,Liechtenstein,2017,1677,79262,80939,3732,146892,150624,,,,,,,
213,Liechtenstein,2018,1781,85283,87064,3433,158728,162161,,,,,,,
214,Liechtenstein,2019,1781,98110,99891,3491,174095,177586,,,,,,,
215,Liechtenstein,2020,1332,58359,59691,3337,124166,127503,,,,,,,
216,Liechtenstein,2021,2638,70764,73402,6084,156302,162386,,,,,,,
217,Liechtenstein,2022,1699,100814,102513,3707,195032,198739,,,,,,,
218,Liechtenstein,2023,2360,114399,116759,4525,217741,222266,,,,,,,
219,Liechtenstein,2024,2798,117789,120587,5277,223302,228579,,,,,,,
220,Lithuania,2013,,,,,,,44.69,6905820,2357815,9309115,18353632,2138696,20711446
221,Lithuania,2014,1316696,1356835,2673531,3431178,3033826,6465004,48.32,7462730,2448904,7126720,16653449,2063999,19102353
222,Lithuania,2015,1417321,1388487,2805808,3570465,3010727,6581192,49.17,7874365,2647851,7461550,17162961,1827046,19810812
223,Lithuania,2016,1546624,1517890,3064514,3719254,3273420,6992674,52.84,8207079,2751863,7125620,17096697,1763997,19848560
224,Lithuania,2017,1669403,1583801,3253204,3933691,3431233,7364924,54.35,9063269,2850036,6519301,17369129,1786560,20219165
225,Lithuania,2018,1875657,1744733,3620390,4354797,3736850,8091647,55.84,10363825,3039223,6181873,18556756,2011058,21595979
226,Lithuania,2019,2099777,1937972,4037749,4804232,4142526,8946758,56.59,9960610,3158496,7018685,18911577,1932281,22070072
227,Lithuania,2020,1615148,511566,2126714,3812166,1119591,4931757,51.28,4543342,1455283,3148176,8978558,1287040,10433840
228,Lithuania,2021,1962633,505361,2467994,4359753,1182795,5542548,52.68,6340632,1941231,3037056,10857176,1479488,12798407
229,Lithuania,2022,2675666,1149537,3825203,5458686,2614444,8073130,63.26,10600435,3503529,5285441,17514985,1629108,21018513
230,Lithuania,2023,2622501,1369549,3992050,5471881,3001947,8473828,64.21,12113339,4049269,5792326,19617909,1712244,23667178
231,Lithuania,2024,2656513,1449052,4105565,5537953,3102171,8640124,62.84,13614928,4618319,6344824,21819716,1859964,26438035
232,Luxembourg,2013,,,,,,,119.21,6883930,933891,2638683,9783294,260680,10717185
233,Luxembourg,2014,104417,1038475,1142892,354226,2513585,2867811,130.31,7537271,1002946,2352757,10326351,436323,11329297
234,Luxembourg,2015,113471,1150913,1264384,340447,2862290,3202737,122.37,7377576,765628,2342978,10209454,488900,10975082
235,Luxembourg,2016,116915,1166258,1283173,332673,2936548,3269221,120.33,7771868,603678,2261191,10230999,197940,10834677
236,Luxembourg,2017,131482,1159497,1290979,358649,2875330,3233979,112.05,10066984,1643562,4250012,14883590,566593,16527151
237,Luxembourg,2018,135711,1141038,1276749,371120,2802737,3173857,131.7,9490267,1557616,4447905,14410074,471902,15967690
238,Luxembourg,2019,139289,1186374,1325663,367594,2797162,3164756,154.01,9308537,1732792,4231008,14132994,593449,15865786
239,Luxembourg,2020,151783,473388,625171,403414,1289968,1693382,107.14,5716536,999318,4384061,10664213,563617,11663531
240,Luxembourg,2021,153785,683259,837044,434995,1788781,2223776,114.93,7557458,1348684,5696909,13897802,643435,15246486
241,Luxembourg,2022,181576,1132054,1313630,488592,2807759,3296351,175.21,11851230,1346304,7228479,20127976,1048268,21474281
242,Luxembourg,2023,183963,1258072,1442035,473681,3012273,3485954,182.83,11569406,2055657,7434678,19730034,725950,21785690
243,Luxembourg,2024,203446,1364853,1568299,458952,3225517,3684469,190.6,12109730,1929122,7371093,20220287,739465,22149410
244,Malta,2013,,,,,,,118.93,1619258,436119,820278,2643094,203558,3079213
245,Malta,2014,155378,1399301,1554679,352733,8428215,8780948,112.49,2150069,489931,268947,2605261,186244,3095191
246,Malta,2015,157267,1428801,1586068,373242,8542055,8915297,123.75,2230193,471709,243903,2645618,171522,3117327
247,Malta,2016,151389,1468143,1619532,348753,8622438,8971191,113.78,2735068,302611,226813,3175125,213244,3477736
248,Malta,2017,167109,1662358,1829467,396167,9184162,9580329,127.98,2973464,493195,292638,3497465,231364,3990661
249,Malta,2018,184577,1798002,1982579,429040,9685156,10114196,134.1,3346772,572153,325008,3946597,274817,4518750
250,Malta,2019,201076,1821836,2022912,474950,9436332,9911282,141.83,3469104,530891,285906,3931752,176742,4462643
251,Malta,2020,219321,486393,705714,547501,2397683,2945184,90.01,1555950,326632,349181,2067118,161988,2393750
252,Malta,2021,245245,736742,981987,672357,3940602,4612959,106.15,1936426,385962,602978,2694790,155386,3080752
253,Malta,2022,254512,1559649,1814161,661199,7549225,8210424,123.14,3421594,409598,429166,4024825,174065,4434422
254,Malta,2023,259363,1992637,2252000,685459,9206833,9892292,137.22,4023819,564773,733886,4947258,189553,5512030
255,Malta,2024,271588,2278803,2550391,715096,10605083,11320179,135.09,4333546,618650,1077663,5722239,311031,6340889
256,Montenegro,2015,153185,1559924,1713109,747576,10307371,11054947,,,,,,,
257,Montenegro,2016,151696,1662121,1813817,721530,10528475,11250005,33.2,3821469,1216896,3792320,8292121,678332,9509018
258,Montenegro,2017,111890,843609,955499,431370,3459000,3890370,38.21,3423635,1015153,2579441,6643096,640020,7658249
259,Montenegro,2022,140333,1025642,1165975,528457,3787237,4315694,,,,,,,
260,Montenegro,2023,158021,1278125,1436146,564693,4560288,5124981,,,,,,,
261,Montenegro,2024,167140,1279340,1446480,597156,4603420,5200576,,,,,,,
262,Netherlands,2013,,,,,,,56.94,219058686,7222577,37606131,258001099,1336281,265223676
263,Netherlands,2014,21931193,13924881,35856074,65328010,34423552,99751562,57.28,217023187,7006643,34536922,252360797,800688,259367439
264,Netherlands,2015,22311303,15007135,37318438,66236714,37297588,103534302,57.26,219524023,7034794,33529448,253875431,821960,260910225
265,Netherlands,2016,23053578,15829488,38883066,66589317,39623541,106212858,59.5,229922847,7747220,31580618,262183104,679639,269930324
266,Netherlands,2017,24310943,17924191,42235134,67528773,44169041,111697814,73.74,227663686,11687356,48162654,279942179,4115839,291629535
267,Netherlands,2018,25132289,18780326,43912615,69080031,47001546,116081577,74.07,236886095,9765498,41587026,282130430,3657309,291895928
268,Netherlands,2019,25786602,20129400,45916002,71692192,51750379,123442571,75.66,250530661,11938383,33585960,287611091,3494471,299549475
269,Netherlands,2020,20035412,7265370,27300782,64042422,21372439,85414861,48.78,133536223,5981849,19288404,153876388,1051761,159858237
270,Netherlands,2021,25472295,6248089,31720384,82479471,18614806,101094277,66.92,200253808,4575630,22256718,227492379,4981852,232068008
271,Netherlands,2022,29417995,16582261,46000256,84478125,48160140,132638265,79.23,246532827,9589182,31202534,296588484,18853123,306177666
272,Netherlands,2023,29100201,20303590,49403791,83168429,59104032,142272461,83.83,258700730,12790674,30409900,310009828,20899199,322800502
273,Netherlands,2024,30012347,21253245,51265592,83857504,61511827,145369331,95.84,242527606,12336145,37052520,291669554,12089428,304005699
274,North Macedonia,2014,207572,417090,624662,618865,900148,1519013,,,,,,,
275,North Macedonia,2015,219532,479152,698684,619060,1020943,1640003,,,,,,,
276,North Macedonia,2016,228882,508300,737182,644167,1050917,1695084,,,,,,,
277,North Macedonia,2017,242674,626879,869553,686100,1289111,1975211,,,,,,,
278,North Macedonia,2018,268612,702833,971445,727607,1483982,2211589,,,,,,,
279,North Macedonia,2019,276091,755438,1031529,721216,1573667,2294883,34.92,1923299,54760,1214883,3237331,99149,3292091
280,North Macedonia,2020,233969,118101,352070,621922,252417,874339,30.15,878358,0,398137,1306151,0,1320712
281,North Macedonia,2021,251830,293919,545749,652150,670134,1322284,38.32,1843210,0,494578,2391317,53529,2413243
282,North Macedonia,2022,261898,537037,798935,675621,1143265,1818886,,,,,,,
283,North Macedonia,2023,266035,733441,999476,668340,1404586,2072926,,,,,,,
284,North Macedonia,2024,255652,829599,1085251,650132,1530378,2180510,,,,,,,
285,Norway,2013,,,,,,,161.67,61948147,13445668,13025592,84325016,9351277,97770684
286,Norway,2014,13824254,4854610,18678864,22162724,8451333,30614057,147.96,73577814,18331631,21745792,105032979,9709373,123364610
287,Norway,2015,14029604,5303531,19333135,22739800,8851422,31591222,162.63,68454463,13606157,17055153,94670695,9161079,108276853
288,Norway,2016,14673056,5920859,20593915,23301585,9672993,32974578,161.38,68332549,13425432,18672622,94736432,7731260,108161864
289,Norway,2017,,,,,,,167.85,71419533,14176450,19245994,100503001,9837474,114679451
290,Norway,2018,,,,,,,143.95,73790511,15365214,19684825,104248467,10773131,119613681
291,Norway,2020,10034858,1387137,11421995,20402530,3318303,23720833,,,,,,,
292,Norway,2021,11149706,1435366,12585072,23782515,3309531,27092046,97.93,56971519,11368481,25366746,91046060,8707796,102414541
293,Norway,2022,13133328,4979438,18112766,26313965,9813229,36127194,165.95,82208207,17938462,27740547,120381357,10432603,138319819
294,Norway,2023,13353220,5951367,19304587,25907064,11137428,37044492,127.4,75528346,15557356,28859110,114936161,10548705,130493517
295,Norway,2024,13492337,6670410,20162747,26162501,12425429,38587930,148.56,83675172,16425870,28877028,123561448,11009249,139987318
296,Poland,2013,,,,,,,47.12,164228221,37141667,67100405,255774882,24446257,292916549
297,Poland,2014,19613643,5470335,25083978,53587348,12992241,66579589,32.42,133370538,11822555,110669295,269520113,25480281,281342668
298,Poland,2015,21252486,5689570,26942056,57476764,13757657,71234421,35.14,142127592,13206550,106111597,273200038,24960849,286406588
299,Poland,2016,23729515,6378793,30108308,63814635,15579225,79393860,35.46,149128663,13220414,115795002,295257374,30333709,308477788
300,Poland,2017,25185677,6803667,31989344,67175700,16705215,83880915,37.54,158213009,15542021,126819601,317808338,32775728,333350359
301,Poland,2018,26813699,7082231,33895930,71117812,17742651,88860463,39.93,162230523,16277964,135583400,329577876,31763953,345855840
302,Poland,2019,28197545,7470546,35668091,74659162,18683576,93342738,40.91,177679271,16947657,141021935,349964419,31263213,366912076
303,Poland,2020,15615208,2263761,17878969,44754216,6622952,51377168,36.36,123758377,10947153,95047001,234409551,15604174,245356704
304,Poland,2021,19689140,2509832,22198972,55672507,7165013,62837520,36.76,146780359,14150699,109275755,276890719,20834605,291041418
305,Poland,2022,28402393,5846611,34249004,75194553,14759246,89953799,44.33,180618273,18790919,134414241,343340155,28307642,362131075
306,Poland,2023,29164646,7074555,36239201,75786956,17010905,92797861,52.27,188444673,16864476,126990283,341302871,25867916,358167347
307,Poland,2024,30966882,7875518,38842400,79256114,18392029,97648143,60.15,189405183,16936294,127117132,345458579,28936264,362394873
308,Portugal,2013,,,,,,,22.1,35473551,6693043,27826283,66822533,3522699,73515577
309,Portugal,2014,8213985,9688312,17902297,19349092,35630345,54979437,35.2,31636771,5451483,20937847,56022200,3447582,61473683
310,Portugal,2015,8940270,10839925,19780195,20522609,38897329,59419938,39.05,32910952,6972596,21644037,58345352,3790363,65317948
311,Portugal,2016,9572917,12343982,21916899,22054931,43959295,66014226,36.9,34854732,5785048,19394505,56889299,2640062,62674347
312,Portugal,2017,10257547,14299650,24557197,23150944,48884842,72035786,38.54,39469265,5417791,22356305,65095435,3269865,70513227
313,Portugal,2018,10830619,15035803,25866422,24555272,49852324,74407596,43.39,41224733,7148861,21840101,65765983,2701149,72914844
314,Portugal,2019,11694640,16200438,27895078,26002000,51592254,77594254,49.72,48546963,7344064,23246285,75478527,3685278,82822590
315,Portugal,2020,7130802,3864594,10995396,16775906,13381894,30157800,37.5,38014137,3812446,15135979,56785700,3635584,60598145
316,Portugal,2021,9190822,5941638,15132460,22369511,20074908,42444419,42.2,43960616,4046478,16950149,64824762,3913998,68871240
317,Portugal,2022,12009431,15328024,27337455,27363326,49584659,76947985,56.7,46639569,6682027,21853541,72536110,4043000,79218137
318,Portugal,2023,12611122,18202000,30813122,27939627,56947203,84886830,61.37,47331803,6434390,23953685,75747607,4462119,82181997
319,Portugal,2024,13008522,19326890,32335412,28416210,59657373,88073583,69.27,46804770,5086739,23644560,74698066,4248736,79784805
320,Romania,2013,,,,,,,25.54,29457798,5007443,37826352,68143249,859099,73150692
321,Romania,2014,6532213,1911817,8444030,16467780,3762465,20230245,26.15,28316773,4851846,37321122,66603761,965866,71455607
322,Romania,2015,7664325,2234232,9898557,18985269,4460017,23445286,29.84,27799020,5438006,31871067,60815646,1145559,66253652
323,Romania,2016,8445821,2471411,10917232,20462599,4812050,25274649,32.19,29041812,4234758,32100538,62421872,1279522,66656630
324,Romania,2017,9306915,2749258,12056173,21647603,5267970,26915573,35.18,32655433,4841217,30171312,64092728,1265984,68933945
325,Romania,2018,10029531,2786468,12815999,23154660,5306493,28461153,38.25,35122207,4631554,29349783,65602633,1130643,70234187
326,Romania,2019,10604562,2672887,13277449,24620841,5269053,29889894,43.87,39357684,5108381,30419256,71198331,1421390,76306711
327,Romania,2020,5886981,,,13458330,996134,14454464,41.15,20645100,1597071,20306881,41326916,374935,42923987
328,Romania,2021,9168707,873883,10042590,20508623,1913848,22422471,47.45,34497234,2945745,27111986,62233294,624073,65179039
329,Romania,2022,10712281,1662334,12374615,22976069,3638152,26614221,67.16,37358801,3014409,26610292,64729585,760492,67743994
330,Romania,2023,11562950,2102779,13665729,24738466,4467102,29205568,67.14,43368994,2925273,31378885,75676069,928190,78601342
331,Romania,2024,11894934,2387632,14282566,25290103,4941101,30231204,75.18,47859014,2979080,30209200,78892529,824314,81871608
332,Serbia,2014,1125645,976221,2101866,3879642,2074680,5954322,,,,,,,
333,Serbia,2015,1281983,1127284,2409267,4217374,2402065,6619439,,,,,,,
334,Serbia,2016,1445608,1277956,2723564,4766970,2735528,7502498,,,,,,,
335,Serbia,2018,,,,,,,41.74,4397809,1411097,4387139,9990583,1205634,11401680
336,Serbia,2020,1372257,445672,1817929,4933011,1264383,6197394,,,,,,,
337,Serbia,2021,1718454,870946,2589400,5727351,2428804,8156155,,,,,,,
338,Serbia,2022,2096472,1772763,3869235,7306219,4939394,12245613,,,,,,,
339,Serbia,2023,2058492,2134305,4192797,6858331,5582604,12440935,,,,,,,
340,Serbia,2024,2048016,2384735,4432751,6564402,6097749,12662151,,,,,,,
341,Slovakia,2013,,,,,,,54.38,20510902,4574450,5308843,28055234,2235489,32629684
342,Slovakia,2014,2229662,1459974,3689636,6928868,3852147,10781015,58.03,15141243,3628368,9095982,27700039,3462815,31328407
343,Slovakia,2015,2573289,1700746,4274035,7791475,4384800,12176275,57.91,21107185,3904311,10467962,35171016,3595868,39075326
344,Slovakia,2016,2948498,1995812,4944310,8856568,5038214,13894782,55.34,21582262,4405209,11631409,37438905,4225234,41844114
345,Slovakia,2017,3158266,2129507,5287773,9350992,5316945,14667937,61.91,23990385,3523217,11897091,40680587,4793111,44203804
346,Slovakia,2018,3273224,2213983,5487207,9629258,5558882,15188140,58.24,27405766,4574650,16587197,48595423,4602461,53170073
347,Slovakia,2019,3858686,2409115,6267801,11177659,6047674,17225333,60.91,31672414,4987540,17863534,56083882,6547935,61071423
348,Slovakia,2020,2271926,823886,3095812,7194393,2243393,9437786,48.27,11086268,936928,6872160,20338363,2379935,21275292
349,Slovakia,2021,2077005,562814,2639819,6491559,1424388,7915947,55.23,13382650,986477,7626048,24260303,3251605,25246780
350,Slovakia,2022,3145423,1555824,4701247,8697709,3651100,12348809,71.9,22303286,1947713,11343155,39277733,5631291,41225446
351,Slovakia,2023,3527332,2021960,5549292,9639648,4720206,14359854,82.36,28776061,2382094,12499822,48055081,6779197,50437175
352,Slovakia,2024,3630850,2100161,5731011,9769022,4897842,14666864,95.82,32037694,3051828,10879791,48670575,5753090,51722404
353,Slovenia,2013,,,,,,,52.19,13914622,1612418,3145077,17553876,494176,19166294
354,Slovenia,2014,1100862,2373990,3474852,3465829,6004623,9470452,55.78,13603213,1573540,2936010,16996796,457573,18570337
355,Slovenia,2015,1209019,2669204,3878223,3695121,6529086,10224207,53.71,15556026,1802635,2742685,18766734,468023,20569370
356,Slovenia,2016,1273017,2990794,4263811,3805661,7252070,11057731,53.95,15586978,1633780,3347261,19704239,770000,21338019
357,Slovenia,2017,1348977,3543009,4891986,3982065,8478019,12460084,57.64,15718157,1498537,2937489,19084273,428627,20582810
358,Slovenia,2018,,,,,,,61.24,17065079,2057697,3010001,20659449,584369,22717146
359,Slovenia,2019,1527029,4694812,6221841,4403016,11355675,15758691,61.99,15849117,1722724,2921390,19359850,589342,21082573
360,Slovenia,2020,1847384,1211235,3058619,5845635,3342668,9188303,39.17,9503991,383436,1154734,10876708,217982,11260144
361,Slovenia,2021,2169165,1827889,3997054,6451205,4780575,11231780,69.22,15457953,1747039,4339075,20211530,414502,21958569
362,Slovenia,2022,1931242,3928872,5860114,5503765,10054900,15558665,75.11,17951566,2041507,5035409,23608157,621183,25649664
363,Slovenia,2023,1533827,4651952,6185779,4569928,11532874,16102802,87.48,20150900,2567932,7447312,28408462,810250,30976394
364,Slovenia,2024,1528953,5046206,6575159,4498552,12336851,16835403,92.9,21942695,2034700,6959960,29585351,682696,31620051
365,Spain,2013,,,,,,,38.32,350490165,43244326,203265155,610997292,57241972,654241617
366,Spain,2014,55185879,52359130,107545009,144327228,259635794,403963022,39.12,336651430,39874000,192438504,582575255,53485320,622449254
367,Spain,2015,59021796,55426615,114448411,152808273,269418103,422226376,53.77,293323700,22099682,221253848,561341240,46763693,583440923
368,Spain,2016,62199939,61341839,123541778,160400822,294556428,454957250,57.95,326316743,28995345,226048885,592882573,40516945,621877918
369,Spain,2017,64159337,65233045,129392382,165292267,305907462,471199729,60.46,357411207,26132287,207952213,603460042,38096622,629592329
370,Spain,2018,65032598,65771059,130803657,165918083,301022634,466940717,64.72,354726453,26434825,212218793,600716796,33771551,627151621
371,Spain,2019,67280725,67728098,135008823,170722142,299091409,469813551,66.0,360848808,25437242,207327698,604837478,36660972,630274720
372,Spain,2020,32225935,13391038,45616973,83778193,60898835,144677028,45.57,211367519,11587409,137475630,376734928,27891779,388322337
373,Spain,2021,55069349,25685365,80754714,145188204,114391555,259579759,55.23,274636581,16352848,167283434,481056919,39136903,497409766
374,Spain,2022,70542990,62501719,133044709,180184036,271440904,451624940,71.74,340540223,22974043,197893911,582218125,43783991,605192168
375,Spain,2023,72690996,72140336,144831332,183129528,301857957,484987485,80.12,363903717,26231123,208406325,609145517,36835475,635376640
376,Spain,2024,71997969,77668372,149666341,182936205,322229807,505166012,83.75,371194935,27567897,214437806,628546052,42913311,656113949
377,Sweden,2014,20397005,5455363,25852368,40019659,12260712,52280371,59.91,93161510,15988128,37952125,145482266,14368632,161470394
378,Sweden,2015,21788707,6267866,28056573,41998923,13612924,55611847,65.25,96268440,11633548,41532520,152353716,14552755,163987263
379,Sweden,2016,22524467,6550337,29074804,43236883,13997265,57234148,55.47,108937949,16677425,38628909,164351618,16784760,181029043
380,Sweden,2017,23033004,6840963,29873967,44044499,14638702,58683201,155.97,120465406,35161755,136934421,276331101,18931274,311492855
381,Sweden,2018,23519609,7217241,30736850,45171193,15685681,60856874,146.96,107381785,28615381,113446621,233008306,12179900,261623686
382,Sweden,2019,24490475,7407227,31897702,47195047,15980234,63175281,140.16,102176503,26459175,108090840,225122300,14854957,251581475
383,Sweden,2020,16836292,1849790,18686082,35370036,4434525,39804561,74.61,80427135,17087409,74739456,176469656,21303065,193557066
384,Sweden,2021,21041125,2893705,23934830,43532176,6512444,50044620,83.53,81297515,18385105,94026092,197106714,21783107,215491819
385,Sweden,2022,25431746,6442184,31873930,48958144,13967415,62925559,112.89,139476307,33717436,121679211,283243471,22087952,316960906
386,Sweden,2023,25547642,7305634,32853276,48316077,15580042,63896119,,,,,,,
387,Sweden,2024,25180528,8432588,33613116,46952733,17163352,64116085,149.78,165789468,27451915,130160908,322015652,26065276,349467568
388,Switzerland,2013,,,,,,,117.28,86324449,4589346,23072551,119572184,10175184,124161530
389,Switzerland,2014,,,,,,,105.89,86083227,5718462,24890390,120093628,9120011,125812090
390,Switzerland,2015,,,,,,,119.68,90052129,5195663,28817570,126970643,8100944,132166305
391,Switzerland,2016,11136172,10385876,21522048,26414287,23982739,50397026,120.67,97871710,4631027,27805456,135672248,9995081,140303275
392,Switzerland,2017,11688312,11116241,22804553,27805093,25478223,53283316,113.23,95848912,4748026,36026055,143383599,11508632,148131625
393,Switzerland,2018,12247802,11696528,23944329,28609658,26747521,55357179,115.08,100555900,4914177,32362731,139711403,6792773,144625580
394,Switzerland,2019,12576425,11798912,24375337,29391499,26843131,56234630,115.49,90715012,7192747,32660292,135431416,12056112,142624163
395,Switzerland,2020,,,,,,,89.71,64763646,3658207,18603120,89870221,6503454,93528427
396,Switzerland,2021,13592521,4367894,17960415,34343879,11540609,45884489,107.99,62184752,4612981,22564378,88466752,3717622,93079733
397,Switzerland,2022,14166111,9139057,23305168,33446345,22193751,55640095,130.65,84339850,2221402,34222488,123906856,5344518,126128258
398,Switzerland,2023,14341963,11598670,25940633,32858344,26452859,59311203,,,,,,,
399,Switzerland,2024,14347540,12291219,26638759,32396364,27719929,60116293,,,,,,,
400,Türkiye,2014,,,,32448842,97581075,130029917,,,,,,,
401,Türkiye,2015,,,,37480990,96400316,133881306,,,,,,,
402,Türkiye,2016,,,,46752171,65793316,112545487,,,,,,,
403,Türkiye,2018,40822111,31135545,71957656,78441583,112245139,190686722,,,,,,,
404,Türkiye,2019,42012998,38853764,80866762,78478855,132808208,211287063,,,,,,,
405,Türkiye,2020,29100813,12778621,41879434,55228050,40095043,95323093,,,,,,,
406,Türkiye,2021,42216013,28521748,70737761,82910139,93123579,176033718,,,,,,,
407,Türkiye,2022,48250594,46580333,94830927,93969165,148552999,242522164,,,,,,,
408,Türkiye,2023,37283173,40014918,77298091,72595189,130592641,203187830,,,,,,,
409,Türkiye,2024,39198606,44044950,83243556,76418208,139599507,216017715,,,,,,,
410,United Kingdom,2013,,,,,,,69.25,492599248,79569396,285183009,804313588,26531332,883882984
411,United Kingdom,2014,76849990,40849630,117699620,185710000,257670180,443380180,,,,,,,
412,United Kingdom,2015,80136150,44274119,124410269,189788000,275650028,465438028,,,,,,,
413,United Kingdom,2016,78571470,43469604,122041074,196903030,279453071,476356101,,,,,,,
